Engagement_ID,Alumni_ID,Event_ID,Participation_Score,Feedback_Text
1,715,548,89,Met potential employers
2,903,21,80,Great networking opportunity
3,491,517,61,Good alumni connections
4,948,2,100,Relevant content
5,480,492,42,Great networking opportunity
6,477,213,75,Helpful for interviews
7,939,505,75,Good alumni connections
8,605,588,37,Relevant content
9,380,799,71,Average experience
10,333,317,100,Good alumni connections
11,630,516,87,Good alumni connections
12,562,285,60,Great networking opportunity
13,819,89,58,Relevant content
14,669,17,86,Informative session
15,367,566,62,Great networking opportunity
16,235,358,64,Average experience
17,472,126,100,Relevant content
18,389,528,100,Helpful for interviews
19,600,801,72,Met potential employers
20,72,883,81,Informative session
21,985,81,70,Good alumni connections
22,583,988,70,Great networking opportunity
23,601,26,76,Great networking opportunity
24,327,252,87,Good alumni connections
25,802,455,72,Average experience
26,383,181,66,Helpful for interviews
27,266,609,81,Average experience
28,553,552,53,Informative session
29,451,935,100,Average experience
30,985,218,64,Good alumni connections
31,723,145,97,Great networking opportunity
32,272,22,82,Good alumni connections
33,417,235,68,Relevant content
34,271,629,67,Met potential employers
35,884,923,84,Good alumni connections
36,158,622,81,Relevant content
37,655,544,75,Great networking opportunity
38,266,988,83,Informative session
39,921,187,85,Helpful for interviews
40,843,213,96,Informative session
41,247,382,100,Relevant content
42,25,729,88,Average experience
43,828,295,82,Helpful for interviews
44,640,516,86,Relevant content
45,540,387,69,Average experience
46,745,286,75,Good alumni connections
47,453,151,86,Great networking opportunity
48,167,594,66,Met potential employers
49,401,737,80,Met potential employers
50,83,985,98,Informative session
51,804,866,67,Informative session
52,303,287,85,Good alumni connections
53,245,144,85,Good alumni connections
54,869,56,78,Great networking opportunity
55,506,355,85,Helpful for interviews
56,892,321,100,Helpful for interviews
57,923,860,76,Helpful for interviews
58,980,438,100,Informative session
59,858,528,90,Relevant content
60,61,894,79,Good alumni connections
61,910,38,90,Met potential employers
62,966,958,79,Good alumni connections
63,506,275,100,Met potential employers
64,692,743,93,Average experience
65,905,129,91,Good alumni connections
66,478,599,100,Average experience
67,494,332,66,Relevant content
68,897,435,88,Great networking opportunity
69,832,413,84,Average experience
70,465,583,75,Average experience
71,271,770,94,Great networking opportunity
72,443,414,76,Met potential employers
73,744,69,73,Average experience
74,932,765,74,Met potential employers
75,422,776,100,Met potential employers
76,894,4,98,Relevant content
77,354,29,100,Met potential employers
78,196,988,62,Helpful for interviews
79,182,880,85,Good alumni connections
80,65,164,63,Average experience
81,937,839,86,Met potential employers
82,545,889,82,Good alumni connections
83,656,83,100,Informative session
84,860,172,80,Met potential employers
85,867,732,68,Met potential employers
86,444,209,90,Informative session
87,545,610,87,Helpful for interviews
88,614,128,73,Average experience
89,835,250,100,Met potential employers
90,369,138,78,Good alumni connections
91,958,289,70,Good alumni connections
92,94,904,51,Average experience
93,630,348,82,Average experience
94,48,283,65,Relevant content
95,49,811,73,Helpful for interviews
96,546,428,67,Informative session
97,228,612,93,Great networking opportunity
98,688,492,76,Helpful for interviews
99,634,774,74,Informative session
100,561,906,82,Informative session
101,867,141,67,Helpful for interviews
102,793,288,78,Average experience
103,424,683,76,Average experience
104,422,73,76,Helpful for interviews
105,943,54,54,Relevant content
106,320,575,82,Relevant content
107,858,164,83,Relevant content
108,530,856,74,Great networking opportunity
109,829,203,100,Met potential employers
110,664,575,99,Great networking opportunity
111,719,877,67,Met potential employers
112,747,679,85,Average experience
113,6,748,68,Great networking opportunity
114,84,814,59,Helpful for interviews
115,480,14,89,Average experience
116,839,94,100,Informative session
117,663,583,100,Helpful for interviews
118,731,992,89,Great networking opportunity
119,43,812,100,Good alumni connections
120,405,118,64,Good alumni connections
121,184,840,76,Good alumni connections
122,277,121,92,Relevant content
123,970,916,69,Average experience
124,756,249,68,Helpful for interviews
125,203,852,100,Good alumni connections
126,504,927,91,Great networking opportunity
127,541,61,70,Average experience
128,778,46,85,Good alumni connections
129,871,296,74,Good alumni connections
130,529,985,65,Informative session
131,399,114,81,Relevant content
132,607,59,50,Met potential employers
133,2,796,73,Good alumni connections
134,348,963,76,Average experience
135,905,339,61,Good alumni connections
136,219,288,54,Good alumni connections
137,261,530,84,Informative session
138,875,939,67,Average experience
139,707,633,95,Average experience
140,402,248,59,Relevant content
141,668,219,74,Met potential employers
